Gene_Symbol	Gene_Name	References
HK2	Hexokinase 2	The glucoseregulated nuclear localization of hexokinase 2 in Saccharomyces cerevisiae is Mig1-dependent
HK2	Hexokinase 2	Mitochondrial localization of TIGAR under hypoxia stimulates HK2 and lowers ROS and cell death
HK2	Hexokinase 2	Hexokinase II detachment from mitochondria triggers apoptosis through the permeability transition pore independent of voltage-dependent anion channels
HK2	Hexokinase 2	Inhibition of early apoptotic events by Akt/PKB is dependent on the first committed step of glycolysis and mitochondrial hexokinase
HK2	Hexokinase 2	Hexokinase-mitochondria interaction mediated by Akt is required to inhibit apoptosis in the presence or absence of Bax and Bak
HK2	Hexokinase 2	Mitochondrial binding of hexokinase II inhibits Bax-induced cytochrome c release and apoptosis
GPI	Phosphoglucose isomerase	Phosphoglucose isomerase/autocrine motility factor mediates epithelial-mesenchymal transition regulated by miR-200 in breast cancer cells
GPI	Phosphoglucose isomerase	Autocrine motility factor/phosphoglucose isomerase regulates ER stress and cell death through control of ER calcium release
GPI	Phosphoglucose isomerase	Regulation of phosphoglucose isomerase/autocrine motility factor expression by hypoxia
GPI	Phosphoglucose isomerase	The crystal structure of a multifunctional protein: phosphoglucose isomerase/autocrine motility factor/neuroleukin
GPI	Phosphoglucose isomerase	Tumor cell autocrine motility factor is the neuroleukin/phosphohexose isomerase polypeptide
PFKM	Phosphofructokinase	Aerobic glycolysis tunes YAP/TAZ transcriptional activity
PGK1	Phosphoglycerate kinase	Immunoelectron microscopic analysis of the intracellular distribution of primer recognition proteins, annexin 2 and phosphoglycerate kinase, in normal and transformed cells
PGK1	Phosphoglycerate kinase	Modulation of DNA polymerases alpha, delta and epsilon by lactate dehydrogenase and 3-phosphoglycerate kinase
